episode,step,speed,raw_policy_throttle,raw_policy_brake,policy_throttle,policy_brake,final_throttle,final_brake,raw_pedal,applied_pedal,front_gap,min_ttc,shield_ttc,dsafe_d,ttc_shield_fired,dsafe_active
0,103,5.0878,0.182,0.0485,0.2516,0.0,0.2516,0.0,0.1335,0.2516,0.0,1.0,nan,nan,0,0
0,104,5.079,0.3758,0.088,0.3261,0.0,0.3261,0.0,0.2878,0.3261,0.0,1.0,nan,nan,0,0
0,105,5.0827,0.1984,0.0783,0.2495,0.0,0.2495,0.0,0.1201,0.2495,0.0,1.0,nan,nan,0,0
0,106,5.0537,0.134,0.0595,0.1802,0.0,0.1802,0.0,0.0745,0.1802,0.0,1.0,nan,nan,0,0
0,107,4.9777,0.0937,0.0976,0.0,0.0976,0.0,0.0976,-0.0039,-0.0976,0.0,1.0,nan,nan,0,0
0,108,4.8564,0.1359,0.0984,0.0815,0.0,0.0815,0.0,0.0375,0.0815,0.0,1.0,nan,nan,0,0
0,109,4.746,0.1776,0.0486,0.1392,0.0,0.1392,0.0,0.129,0.1392,0.0,1.0,nan,nan,0,0
0,110,4.6924,0.3524,0.0816,0.2671,0.0,0.2671,0.0,0.2708,0.2671,0.0,1.0,nan,nan,0,0
0,111,4.6942,0.2889,0.0604,0.2802,0.0,0.2802,0.0,0.2285,0.2802,0.0,1.0,nan,nan,0,0
0,112,4.7002,0.2147,0.0517,0.2409,0.0,0.2409,0.0,0.163,0.2409,0.0,1.0,nan,nan,0,0
0,113,4.7151,0.2962,0.073,0.274,0.0,0.274,0.0,0.2232,0.274,0.0,1.0,nan,nan,0,0
0,114,4.7296,0.2483,0.0342,0.2586,0.0,0.2586,0.0,0.2141,0.2586,0.0,1.0,nan,nan,0,0
0,115,4.7362,0.2255,0.0322,0.2387,0.0,0.2387,0.0,0.1933,0.2387,0.0,1.0,nan,nan,0,0
0,116,4.7155,0.1362,0.0298,0.1772,0.0,0.1772,0.0,0.1064,0.1772,0.0,1.0,nan,nan,0,0
0,117,4.6737,0.1798,0.0336,0.1788,0.0,0.1788,0.0,0.1462,0.1788,0.0,1.0,nan,nan,0,0
0,118,4.6312,0.2007,0.0683,0.192,0.0,0.192,0.0,0.1324,0.192,0.0,1.0,nan,nan,0,0
0,119,4.4991,0.0966,0.1224,0.0,0.1224,0.0,0.1224,-0.0258,-0.1224,0.0,1.0,nan,nan,0,0
0,120,4.3769,0.1998,0.0369,0.1199,0.0,0.1199,0.0,0.1629,0.1199,0.0,1.0,nan,nan,0,0
0,121,4.3291,0.4164,0.045,0.2978,0.0,0.2978,0.0,0.3714,0.2978,0.0,1.0,nan,nan,0,0
0,122,4.4215,0.754,0.0488,0.5716,0.0,0.5716,0.0,0.7052,0.5716,0.0,1.0,nan,nan,0,0
0,123,4.4659,0.1451,0.1928,0.0,0.1928,0.0,0.1928,-0.0477,-0.1928,0.0,1.0,nan,nan,0,0
0,124,4.4193,0.2817,0.1826,0.169,0.0,0.169,0.0,0.0991,0.169,0.0,1.0,nan,nan,0,0
0,125,4.4322,0.5701,0.1572,0.4097,0.0,0.4097,0.0,0.4129,0.4097,0.0,1.0,nan,nan,0,0
0,126,4.5367,0.5954,0.0802,0.5211,0.0,0.5211,0.0,0.5152,0.5211,0.0,1.0,nan,nan,0,0
0,127,4.7511,0.9889,0.0671,0.8018,0.0,0.8018,0.0,0.9218,0.8018,0.0,1.0,nan,nan,0,0
0,128,5.163,0.9211,0.04,0.8733,0.0,0.8733,0.0,0.8811,0.8733,0.0,1.0,nan,nan,0,0
0,129,5.2818,0.2935,0.0354,0.5254,0.0,0.5254,0.0,0.2581,0.5254,0.0,1.0,nan,nan,0,0
0,130,5.3103,0.2597,0.1971,0.366,0.0,0.366,0.0,0.0626,0.366,0.0,1.0,nan,nan,0,0
